Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
"MASAIJEH HILL, BAUCHI",https://netstorage-legit.akamaized.net/images/d748768b2779dc64.jpg,Source: Legit,https://www.legit.ng/1212940-top-10-highest-mountains-nigeria.html,"Masaijeh Hill is one of the highest mountains situated in Bauchi State, Nigeria. It has an elevation of 1593m above sea level. It attracts researcher and tourist from over the world due to its huge and glamorous view.",13,Numbered,green,"Bauchi, Nigeria",10.9999929,9.0433204,,,,
"JOS PLATEAU FOREST, JOS",https://www.youtube.com/embed/l3xXE4D7Udg?controls=0&amp;start=5,Source: One Earth/Youtube/SEYI BODY LAWSON,https://www.oneearth.org/ecoregions/jos-plateau-forest-grassland/,"The Jos Plateau is a plateau located near the centre of Nigeria. The plateau has given its name to the Plateau State in which it is found and is itself named for the state's capital, Jos. The plateau is the hydrological centre of the country supporting agriculture, navigation, and commerce. The plateau is the hydrological center of the country supporting agriculture, navigation, and commerce.<br><br>The Jos Plateau is mainly comprised of granites that are part of the Precambrian Basement Complex, and which formed part of the land surface of the Gondwanan supercontinent. Temperatures on the Jos Plateau are lower than the surrounding areas, with minima of 15.5°C to 18.5°C to maxima of 27.5°C to 30.5°C.<br><br>Rainfall is around 2,000 mm in the southwestern part of the plateau, and declines to around 1,500 mm in the northeast. The Jos Plateau ecoregion contains a relatively large number of endemic species. Several mammals occur in the Jos Plateau which are the bushveld horseshoe bat, the greater long-fingered bat, Fox's shaggy rat , Nigerian mole rat, gray climbing mouse, and the West African subspecies of klipspringer.<br><br>Vegetative formations can be divided into various savanna mosaics: woodland, riparian forest, and scrub regions. Plant species such as Carissa edulis, Dalbergia hostilis, Diospyros abyssinica, Euphorbia desmondii, E. poissonii, Ficus glumosa, Rhus longipes, and Olea capensis can be found in bushland and scrub forest on the plateau. The most numerous tree species in the woodland areas are Isoberlinea doka, Vitex doniana, Lannea schimperi, and Uapaca somon.",13,Numbered,green,"Jos, Nigeria",9.566704,9.083301,,,,
"SHERE HILLS, JOS",https://www.visitnigerianow.com/wp-content/uploads/2017/12/Shere-Hills-visitnigerianow-1-670x440.jpg,Source: Visit Nigeria Now,https://www.visitnigerianow.com/tours/shere-hills/,"The Shere Hills are a range of undulating hills and rock formations on the Jos Plateau, situated about 10 kilometers to the East of Jos metropolis, the capital of Plateau State in the middle belt region of Nigeria.<br><br>The Shere Hills have numerous high peaks, with the highest peak reaching a height of about 1,829 meters or 6,001 feet above sea level, the Shere Hills are the highest point of the Jos Plateau and they form the third highest point in Nigeria after Chappal Waddi on the Mambilla Plateau averaging about 2,419 meters or 7,936 feet above sea level and Mount Dimlang (Vogel peak) on the Shebshi Mountains reaching a height of about 2,042 meters or 6,699 feet above sea level.",13,Numbered,green,Plateau,9.947015,9.0477466,,,,
"BIU PLATEAU, BORNO",https://media.wired.com/photos/59325517b8eb31692072ecaa/master/w_1600%2Cc_limit/Rhumsiki_Peak.jpg,"Source: Wikipedia, CC BY-SA",https://en.wikipedia.org/wiki/Biu_Plateau,"The Biu Plateau is a highland area in Northeastern Nigeria containing many recently extinct volcanoes. It covers about 5,200 km2 (2,000 sq mi) and has an average elevation of 700 m (2,300 ft). The plateau lies between the Upper Benue Basin to the south and the Chad Basin to the north. High points are Wade Hill at 775 m (2,543 ft) above sea level and Wiga Hill, at well over 800 m (2,600 ft).<br><br>The plateau is the source of many tributaries of the Gongola River, which have cut deep gorges. To the north the plateau slopes gently to the Bauchi plains and the Chad Basin.There is evidence of early volcanic activity in the area during the Cretaceous, which ended about 66 million years ago. However, the plateau was built around the end of the Miocene, and the bulk of the rocks are Pliocene basalts that have erupted from small vents or fissures, and then spread in a thin layer over wide areas.<br><br>Activity resumed in the Quaternary with thin flows of lava issuing from small cinder cones and filling the valleys. Most of the basalts date between 7 and 2 million years ago, but some are less than a million years old. The plateau includes many small pyroclastic cones caused by explosions when water penetrated downward and came into contact with fresh lava. There are a number of well-preserved volcanic cones rising above the Plateau along a NNW-SSE axis in the Miringa volcanic zone.",13,Numbered,green,Borno,10.5330018,12.1952457,,,,
SHEBSHI MOUNTAINS,https://live.staticflickr.com/3347/3313762189_cdc7d7783f_c.jpg,"Source: Wikipedia, CC BY-SA",https://en.wikipedia.org/wiki/Shebshi_Mountains,"Shebshi Mountains is a mountain range in Adamawa State, north-eastern Nigeria extending in a north-south direction near the Cameroon border and between the Benue and Taraba rivers. The peak altitude is reach with Mount Dimlang (formerly Vogel) at 2,042 m (6,699 ft.).<br><br>Numerous tributaries of the Benue River, including the Kam, Fan, Sonko, Belwa, and Ini rivers, rise on the range’s wooded upper slopes. The climate of this region consists mostly of Southern Guinea Savanna and Derived Savanna.",13,Numbered,green,Adamawa,8.4761172,11.8462158,,,,
SUKUSUM MOUNTAIN,https://peakvisor.com/photo/nigeria.jpg,Source: Mapcarta,https://mapcarta.com/16991274,"Sukusum is a summit in Nigeria and has an elevation of 1079 metres. Sukusum is situated northwest of Yelima in Taraba State, Nigeria. It is known for its beautiful view which has served as a tourist attraction for researchers and tourist over time.",13,Numbered,green,Taraba,8.0325272,11.2814882,,,,
GASHAKA GUMTI NATIONAL PARK,https://www.youtube.com/embed/DATzAzp-2II?controls=0&amp;start=39,"Source: 
Nigerian National Park Service/Youtube/Discover Nigeria Magazine",http://nigeriaparkservice.org/?p=144,"Gashaka-Gumti National Park is in the mountainous region of north-eastern Nigeria adjacent to the international border with Cameroon, and immediately to the north of Mambilla Plateau. The largest and most scenic of all the seven National Parks, this conservation area is located in Adamawa and Taraba States, covers a total area of 6,731 sq.km. The Park is contiguous with Faro and Tchabal Mbado National Parks in the Republic of Cameroon.<br><br>The Park experiences varying pleasant weather conditions, depending on one’s location within the Park. These range from tropical dry humid, tropical moist humid in the lowlands to sub tropical highland weather on the high plateau around Chappal waddi, Sabere and Fillinga. The Park also contains some historic sites one of which is the pre 1918 German fort and garrison top of Gashaka Hill once used as a “ watch tower ” by the German military expedition to that area. Activities of the project include: Park protection, Park boundary demarcation and patrol, eco-tourism development, community outreach , biological research and development of the Park infrastructure.",13,Numbered,green,Jalingo,7.5425661,11.6157546,,,,
"NGEL NYAKI FOREST RESERVE, TARABA",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Nigeria%2C_Taraba_State%2C_Mambilla_Plateau%2C_Ngel_Nyaki_Forest_Reserve%2C_2012.jpg/1920px-Nigeria%2C_Taraba_State%2C_Mambilla_Plateau%2C_Ngel_Nyaki_Forest_Reserve%2C_2012.jpg,"Source: Wikipedia, CC BY-SA",https://en.wikipedia.org/wiki/Ngel_Nyaki_Forest_Reserve,"The Ngel Nyaki Forest Reserve is situated on the Mambilla Plateau in SE Nigeria, covering 46 km2. It can be reached on foot from Yelwa village past the Mayo Jigawal, from where it is less than half an hour’s walk to the upper edge of the forest. The altitude ranges from 1,400 metres (4,593 ft) up to 1,600 metres (5,249 ft).<br><br>The reserve contains a stand of rare dry type montane to sub-montane forest and is the only forest of its type left on the heavily populated Mambilla plateau. Ngel Nyaki is home to a population of the rare and endangered Nigeria-Cameroon chimpanzee, Pan troglodytes subsp. ellioti. It is estimated that the chimpanzee population in the forest comprises a single interbreeding community of 11–13 adults",13,Numbered,green,Jalingo,7.0876638,11.0533409,,,,
"CHAPPAL WADDI MOUNTAIN, TARABA",https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Chappal_Wadi%2C_highest_point_in_sub-saharan%2C_West_Africa.jpg/1024px-Chappal_Wadi%2C_highest_point_in_sub-saharan%2C_West_Africa.jpg,"Source: Wikipedia, CC BY-SA",https://en.wikipedia.org/wiki/Chappal_Waddi,"Chappal Waddi is a mountain in Nigeria and, at 2,419 m (7,936 ft), is the country's highest point. It is located in Taraba State, near the border with Cameroon, in the Gashaka Gumti Forest Reserve and Gashaka-Gumti National Park on the Mambilla Plateau. It is a part of the Bamenda-Adamawa-Mandara Mountain chain of Nigeria and Cameroon.",13,Numbered,green,Jalingo,7.0356543,11.7129678,,,,
"SUKUR CULTURAL LANDSCAPE, ADAMAWA",https://whc.unesco.org/uploads/thumbs/site_0938_0002-500-375-20160229153533.jpg,"Source: UNESCO, CC BY-SA",https://whc.unesco.org/en/list/938/,"The Sukur Cultural Landscape, with the Palace of the Hidi (Chief) on a hill dominating the Sukur community, the terraced fields and their sacred symbols, and the extensive remains of a former flourishing iron industry, is a remarkably intact physical expression of a society and its spiritual and material culture.  The landscape is characterized by terraces on the farmlands, dry stone structures and stone paved walkways.<br><br>The terraced landscape at Sukur with its hierarchical structure and combination of intensive and extensive farming is remarkable. In addition, it has certain exceptional features that are not to be found elsewhere, notably the use of paved tracks and the spiritual content of the terraces, with their ritual features such as sacred trees. <br><br>The Sukur Cultural Landscape is a National Monument as determined by the Joint Instrument of Federal Decree No. 77 of 1979 (now NCMM ACT, Cap 242 of 2000) and the subsequent legal authority of the Adamawa State Government as in Gazette No. 47 Vol. 7 of 20 November 1997, and the written consent of the Hidi-in-Council.<br><br>The Sukur Cultural Landscape was declared a UNESCO Listed Heritage Site making it the African first world heritage cultural landscape.",13,Numbered,green,"Adawama, Nigeria",10.73703,13.568801,,,,
CONCLUSION,"https://res.cloudinary.com/wegowordpress/images/f_auto,q_auto/w_1536,h_1152,c_scale/v1571801193/IMG_4554_gbnobg/IMG_4554_gbnobg-1536x1152.jpg",Source: Wego,https://blog.wego.com/nigeria-art-and-cultures-hottest-destination/,"This web application showcased few out of many tourist attractions in Nigeria. If you haven't visit Nigeria yet, you are still short of some amazing views and glamourous experience that life has to offer. Although, the current pandemic has hampered movement and travels all around the world but it is a believe that we would get over the situation soonest.<br><br> As soon as we are free to travel and tour the world once again, plan your holiday and vacation trip to some of these amazing tourist attractions and be rest assured of ultimate and worthwhile experiences.<br><br>Before then, keep safe, avoid large gathering, use face mask when in public places, sanitize reguarly, ensure social distancing at every means and to cap it all, get vaccinated.",6.3,,green,,8.8614158,8.51682,,,,
